event_id,user_id,event_type,platform_type,event_timestamp,device_type
6c80076f-6f25-44bd-86dc-e2116e22d45c,34edf564-0696-46ba-993a-2c0fe219e37f,send_money,,2024-01-31,Android
c242ce16-2684-4429-93d7-2deeb786f78a,2a3b8731-79da-44a2-ba9e-d9cc22305d5d,check_balance,mobile,2023-12-29,iOS
3c3b7412-4b23-49bf-bec2-a08516427c9c,e7bb4008-3a85-4560-9ff9-06b379595b9b,send_money,,2021-06-08,iOS
e57b6c59-1f76-4041-acd3-6cb48b087984,4bbef1d9-10cf-4b4b-ab99-65a73808e313,check_balance,mobile,2022-08-24,Android
278b3026-9987-485d-b5f5-8a9892099896,09f3315a-450c-47f7-872c-8790ed26fdfb,login,mobile,2024-11-23,iOS
72af6d2c-0f5c-4afb-aa8b-1f773ecd2c3b,7b062050-db8e-40a7-9237-712308979d4c,check_balance,mobile,2022-11-08,iOS
641e0dbf-f036-4c8d-8175-edef139106c0,04df23ea-e7ea-40db-9634-1fa083bdd406,login,mobile,2025-03-15,iOS
12f8a452-8fb2-45eb-87a4-e70c1dcd0cf7,9cd09e66-f909-491c-b6b3-e096b323e918,check_balance,web,2023-06-20,Web
5d84c0fd-302a-4e1e-be18-d4a47425d99a,dd8059e6-9367-41b9-95b6-eb526adfcf4a,receive_money,web,2021-04-07,Web
d714a63b-d650-46d0-babe-1a7014041857,a6e7207b-9c9d-40ef-83f6-13a793fd0599,send_money,web,2023-06-20,Web
d18121f2-2d65-4c80-8922-f0291d25e5d8,0afed6a0-196e-49d1-aff4-01d5670b317f,update_profile,mobile,2025-03-14,iOS
125a5849-68a0-49b7-b4c5-f08f9a515190,aa83bae9-5bd4-4898-87e2-eebe458a1b8c,kyc_submitted,mobile,2021-03-15,iOS
f098fe54-d80e-4915-ae0b-08137110d354,71df9451-a984-4cc0-9f9e-2aac7f3201e2,receive_money,web,2023-02-09,Web
85b019ca-f5dc-40bf-830b-05f5e13ffc78,64ed3818-ee05-4e97-9abf-5f03f804bdd0,send_money,mobile,2021-08-01,iOS
d739e915-8d98-4810-8198-04c493427319,8f940b0a-2369-4078-8c0c-98ab4968cabb,send_money,,2024-08-07,iOS
bd41eb81-9013-41dc-bcbf-7e1970d94b0b,dd8059e6-9367-41b9-95b6-eb526adfcf4a,login,web,2025-02-09,Web
8a90fc20-37d1-449e-8485-56e955a09f95,3697319c-e4e0-4590-947b-9ce819b26d4d,check_balance,mobile,2025-02-20,iOS
4eed117f-54d8-419e-83bd-64f1e6cff046,de350c38-fe55-4954-9cb5-964c2030bfe7,check_balance,web,2022-11-07,Web
a9c88a93-49bd-4c04-8521-2c9d807d49cb,a6ba7d04-f002-40e0-9338-4a5f04723b08,check_balance,,2022-07-18,iOS
c2d46500-d0a2-4f2f-98d5-93373a053432,db8d77fa-0fd8-410d-8eea-f018a15f1897,logout,,2023-05-11,iOS
7514e53c-1662-4ea4-a464-6f1a02192411,c1ed2c16-9a53-433e-9316-b57758dd09cb,logout,mobile,2024-03-17,iOS
30bf6499-665c-4dbd-a31a-4c86ec656b9a,888a1c7b-1e71-465f-995f-5662aa535311,logout,mobile,2021-07-23,iOS
b538de1c-4c4d-40a2-90d5-0f1e74555340,9d70c28d-27b3-490e-8ec4-93fdfa0c59d5,receive_money,,2021-06-21,iOS
623a66ec-b095-4bc9-858b-615d1aab3189,c6a37bd6-a201-48c5-8bbc-d23f90b103a1,login,web,2023-02-21,Web
7a04baca-b05b-416a-80f8-f273af2f88ea,45ce2fd2-14d8-425a-a21b-812dd805c9fb,receive_money,mobile,2024-12-19,Android
4b52be8f-9a1d-4e7c-b16b-3b9c8ff9f5fb,8c8639b6-e09e-4b7e-acdb-f6f90acdaad4,check_balance,mobile,2022-10-02,iOS
b984d770-467e-4114-8397-c7815d984d98,7d931c90-b955-4cc2-aa5b-6257c1824757,failed_login,mobile,2021-12-15,iOS
a57af358-7de5-45d0-b158-076460f74994,55a4540b-c2a5-431d-bef5-223d80d03e94,check_balance,mobile,2025-09-23,Android
6e7975b8-1a56-401d-81bf-c72100b8553d,758b5546-82fd-4738-9e96-64ab605347f9,login,web,2023-11-27,Web
707244ea-5838-42ed-b6ea-ecfe7db0562d,70a8b1b0-a5d4-40b5-8d89-a50ed3a2c461,login,mobile,2025-01-07,iOS
56e7a7d8-29dc-46a1-9e6f-1c97d2571d7c,2f9b17e1-030b-48e0-9138-22a8b0f4c086,send_money,mobile,2025-05-27,iOS
406e5f0a-20a6-40bb-bd8b-8f79f74d9b38,84a0df55-1377-46da-8f40-6e1ac0f70237,login,mobile,2024-05-18,Android
8729bb58-f240-4bb1-b2c2-9ab9dac1b4be,9e5d1cf1-6896-40c6-acd6-04533f6bb576,receive_money,mobile,2023-04-18,Android
55814b16-b489-4b44-b7f8-d49bf2f93db9,9497c44e-74f8-48b4-bf0a-8e6edc7b6ed5,logout,mobile,2022-04-18,Android
d6b91169-7c2a-49a3-856c-581d2f56625f,14f552ee-d96c-4d2d-a72d-58305009f3fd,send_money,,2025-02-23,Android
